I,V1,V2
0.00032199999999999997,2.557838905965552,1.627316674158271
0.000323,2.5652934637388274,1.6333797889224613
0.00032399999999999996,2.573837807835253,1.639041984300787
0.000325,2.583387641437825,1.642518686694578
0.000326,2.5905885895444927,1.6485131605788605
0.000327,2.5993990943787932,1.6530409060664089
0.000328,2.607154924985013,1.6582706570556365
0.000329,2.6144120508007513,1.6641874738365052
0.00033,2.6232324975557075,1.6695425384468014
0.00033099999999999997,2.6302735342839427,1.6753440210460977
0.000332,2.6397996406577864,1.679379768017952
0.00033299999999999996,2.6477476080763784,1.6848604699712166
0.000334,2.6560493282474917,1.6904852381344992
0.000335,2.6635845574223707,1.6952946511220486
0.000336,2.672324835327915,1.6996980489577063
0.000337,2.679736208677265,1.7063085559670805
0.000338,2.689011358680246,1.7106708326927642
0.000339,2.697372508187564,1.7156787087761347
0.00033999999999999997,2.7054219501659387,1.7200073857611888
0.000341,2.7130278454531216,1.7260649644231478
0.00034199999999999996,2.7217207464090256,1.731278310609576
0.000343,2.7299912006594313,1.7365992005251323
0.00034399999999999996,2.7376586367566365,1.741454439393886
0.000345,2.7462767559769836,1.7461551677928873
0.000346,2.7552767759751524,1.7516541280048272
0.000347,2.762794277789952,1.7564072183006265
0.000348,2.770058178523626,1.7625029870625266
0.00034899999999999997,2.7793956262621546,1.7663394248703204
0.00035,2.786709812315301,1.772262480381191
0.00035099999999999997,2.795345538461272,1.777713900342777
0.000352,2.8046813785998714,1.7822134695994327
0.00035299999999999996,2.8118913826744456,1.7878691616371536
0.000354,2.8208322971978887,1.7927335134541416
0.000355,2.8282950802258675,1.7978663051353447
0.000356,2.837116731545941,1.8033599251923214
0.000357,2.8445551186278517,1.808171742613601
0.000358,2.8530643701846876,1.8126735750626406
0.000359,2.8610618020541936,1.8189789047683318
0.00035999999999999997,2.869338500864739,1.823460682822567
0.000361,2.877053964510178,1.8290356884313834
0.00036199999999999996,2.8864733366990776,1.833201399384987
0.000363,2.8934481921607382,1.8391561458012358
0.00036399999999999996,2.9024944092757603,1.8444518167895045
0.000365,2.910800673035535,1.849496688111926
0.000366,2.918999659302028,1.8543487799139722
0.000367,2.927641498769151,1.858772219862255
0.000368,2.9345678194107054,1.864984424347391
0.00036899999999999997,2.943253787960647,1.869931025690385
0.00037,2.9506923796906337,1.8758115529669221
0.00037099999999999996,2.960218669290601,1.879414164302906
0.000372,2.967828526036854,1.8852653577820877
0.00037299999999999996,2.9763926273855748,1.8909156083930068
0.000374,2.9839538936532026,1.895597026669689
0.000375,2.991520218071786,1.9008655824164806
0.000376,3.000251436908359,1.9062111850366106
0.000377,3.008635740554891,1.9109890475355653
0.00037799999999999997,3.016795538031401,1.916158831026798
0.000379,3.0241337546953564,1.921264570084629
0.00037999999999999997,3.0334679658438053,1.9257263417139867
0.000381,3.0418342756508907,1.931488510341079
0.00038199999999999996,3.0497143193704526,1.9361460747279822
0.000383,3.058049357237284,1.941905774598208
0.000384,3.0662857048953676,1.9467306828624127
0.000385,3.0733483118365754,1.9522593271801132
0.000386,3.0825068750071583,1.9574609453495484
0.000387,3.0897589785738564,1.9625842396290392
0.000388,3.098066472832533,1.9675168643734642
0.00038899999999999997,3.106570423868156,1.9720161150902262
0.00039,3.114242307368253,1.977965979427925
0.00039099999999999996,3.122970384952143,1.9833253608939037
0.000392,3.1313349418266005,1.9886543132061398
0.00039299999999999996,3.1394506904471053,1.992989462968412
0.000394,3.1468804386938416,1.998445058206649
0.000395,3.1554033658793164,2.0042047841723445
0.000396,3.1636117757761753,2.008588602465921
0.000397,3.171931647379453,2.0136885888118505
0.00039799999999999997,3.180529557342344,2.018864502811893
0.000399,3.188473750790555,2.0238350896028785
